Color,Camera X,Camera Y,Camera Z,Combine Gaze X,Combine Gaze Y,Combine Gaze Z,Left Pupil Diameter,Right Pupil Diameter,Left Eye Openness,Right Eye Openness,Total Time,Delta Time
Black,0.22973,-0.8021142,0.5512139,0,0,1,0,0,0,0,0,0
Black,0.22973,-0.8021142,0.5512139,-0.09082186,0.08691555,0.9920671,4.179077,4.179077,1,1,0.02,0.02
Black,-0.0322442,-0.08171888,0.9961337,-0.06633096,0.03604181,0.9971465,4.30722,4.30722,1,1,0.3533334,0.3333333
Black,-0.03671996,-0.0845328,0.9957439,-0.01704417,-0.1107337,0.9937039,4.274948,4.274948,1,1,0.3844858,0.03115249
Black,-0.03638358,-0.08413143,0.9957902,-0.02264408,-0.1008303,0.994646,4.305161,4.305161,1,1,0.409481,0.02499521
Black,-0.03651999,-0.08501597,0.9957101,-0.0212252,-0.1015025,0.9946088,4.272263,4.272263,1,1,0.4351735,0.0256924
Black,-0.03513032,-0.08662811,0.9956211,-0.01492317,-0.0978246,0.9950918,4.202026,4.202026,1,1,0.456028,0.0208545
Black,-0.03334573,-0.08943855,0.995434,-0.02146942,-0.09507887,0.9952382,4.230911,4.230911,1,1,0.4786238,0.02259588
Black,-0.03251132,-0.09271654,0.9951616,-0.02929725,-0.09443787,0.9950996,4.33284,4.33284,1,1,0.5018606,0.02323672
Black,-0.0278203,-0.09675428,0.9949194,-0.03057878,-0.1000524,0.9945122,4.289642,4.289642,1,1,0.5231768,0.02131629
Black,-0.02321709,-0.09902175,0.9948144,-0.01942463,-0.09379672,0.9954019,4.349686,4.349686,1,1,0.5447934,0.02161652
Black,-0.02106772,-0.1014489,0.9946177,-0.01667792,-0.07681302,0.996906,4.323166,4.323166,1,1,0.5660275,0.02123415
Black,-0.01850446,-0.1017991,0.9946329,-0.02050806,-0.07676788,0.996838,4.338852,4.338852,1,1,0.5887942,0.02276671
Black,-0.01834907,-0.1013289,0.9946838,-0.0246584,-0.075791,0.9968188,4.306259,4.306259,1,1,0.6112543,0.0224601
Black,-0.02138181,-0.09916702,0.994841,-0.02931256,-0.0789959,0.9964439,4.300323,4.300323,1,1,0.6326339,0.02137959
Black,-0.02530213,-0.09832172,0.994833,-0.01885991,-0.08605978,0.9961115,4.258667,4.258667,1,1,0.6546915,0.02205759
Black,-0.028125,-0.09823646,0.9947656,-0.02595555,-0.08387871,0.9961379,4.300705,4.300705,1,1,0.6779345,0.02324301
Black,-0.03089372,-0.09924523,0.9945833,0.01693726,-0.0334015,0.9992985,4.369705,4.369705,1,1,0.6989011,0.02096659
Black,-0.0330756,-0.09925257,0.9945124,0.02307158,-0.09987003,0.994733,4.310593,4.310593,1,1,0.7217084,0.02280724
Black,-0.03468781,-0.09896788,0.9944859,0,0,1,4.345139,4.345139,0.8590236,0,0.7426898,0.02098149
Black,-0.03641954,-0.09826777,0.9944934,0.02362084,-0.05239921,0.9983469,4.201202,4.201202,1,1,0.7681388,0.02544898
Black,-0.03630627,-0.09762122,0.9945611,0.03282175,-0.02243049,0.9992095,4.299896,4.299896,1,1,0.7936532,0.02551442
Black,-0.0347852,-0.09582607,0.9947901,0.01972992,-0.03135729,0.9993135,4.129349,4.129349,1,1,0.8185328,0.02487952
Black,-0.03164003,-0.0950448,0.99497,0.0196078,-0.02504,0.9994941,4.184097,4.184097,1,1,0.8437759,0.02524316
Black,-0.02808933,-0.09493975,0.9950867,0.02090457,-0.0295258,0.9993454,4.20517,4.20517,1,1,0.8659666,0.02219069
Black,-0.02245702,-0.09544525,0.9951813,0.02163715,-0.02537558,0.9994438,4.09201,4.09201,1,1,0.8886777,0.02271104
Black,-0.01533372,-0.09452022,0.9954048,0.01701367,-0.02925131,0.9994273,3.971741,3.971741,1,1,0.9105998,0.02192211
Black,-0.01000502,-0.09059496,0.9958376,0.007797265,-0.03350841,0.999408,3.938568,3.938568,1,1,0.9329236,0.02232379
Black,-0.008260224,-0.08560851,0.9962946,0.00469971,-0.02293397,0.9997259,3.954544,3.954544,1,1,0.9542052,0.0212816
Black,-0.007434878,-0.08161187,0.9966365,0.003631597,-0.0224152,0.9997422,3.922546,3.922546,1,1,0.9775394,0.02333421
Black,-0.006742733,-0.07798594,0.9969317,-0.003158583,-0.03466811,0.9993939,3.916565,3.916565,1,1,1.000423,0.02288359
Black,-0.007330543,-0.07373982,0.9972506,0.001312275,-0.03535514,0.999374,3.883133,3.883133,1,1,1.022644,0.02222097
Black,-0.009932178,-0.069525,0.9975308,-0.00337224,-0.04338135,0.9990529,3.866302,3.866302,1,1,1.044331,0.02168679
Black,-0.0111428,-0.06263719,0.9979742,-0.001449586,-0.0397797,0.9992074,3.853012,3.853012,1,1,1.066202,0.02187157
Black,-0.009783338,-0.05524342,0.998425,-0.000885019,-0.04563951,0.9989576,3.852905,3.852905,1,1,1.089128,0.02292597
Black,-0.007512212,-0.0502095,0.9987105,0.001022345,-0.0572666,0.9983584,3.767044,3.767044,1,1,1.110184,0.02105594
Black,-0.007328392,-0.04673484,0.9988804,-0.0003204377,-0.05827387,0.9983006,3.29158,3.29158,1,1,1.132668,0.02248383
Black,-0.008360852,-0.04379516,0.9990055,0,0,1,-1,-1,0.7281923,0,1.154871,0.02220261
Black,-0.009081082,-0.03933118,0.999185,0,0,1,-1,-1,0,0,1.177308,0.02243745
