Color,Camera X,Camera Y,Camera Z,Combine Gaze X,Combine Gaze Y,Combine Gaze Z,Left Pupil Diameter,Right Pupil Diameter,Left Eye Openness,Right Eye Openness,Total Time,Delta Time
Black,-0.05365857,-0.356789,0.9326427,0,0,1,0,0,0,0,0,0
Black,-0.05365857,-0.356789,0.9326427,0.09611575,-0.1247262,0.9875248,5.45018,5.45018,0.1,0.1,0.02,0.02
Black,-0.2815057,0.0124044,0.9594794,0.08079541,-0.04951484,0.9955001,5.629379,5.629379,1,0.1,0.3472115,0.3272115
Black,-0.3068788,-0.02949609,0.9512914,0.05709887,-0.07533327,0.9955223,5.525421,5.525421,1,0.1,0.3731643,0.02595279
Black,-0.3117244,-0.03331792,0.9495882,0.05285696,-0.08250508,0.9951879,5.463577,5.463577,1,0.1,0.3978014,0.0246371
Black,-0.3153082,-0.03769254,0.9482405,0.06454547,-0.07769872,0.9948853,5.4505,5.4505,1,0.1,0.4162747,0.0184733
Black,-0.3176126,-0.04170355,0.9473031,0.07522655,-0.06205809,0.9952335,5.618729,5.618729,1,0.1,0.4402371,0.02396241
Black,-0.3196172,-0.04452869,0.9464999,0.0981152,-0.04771481,0.9940305,5.6931,5.6931,1,0.1,0.4596395,0.01940238
Black,-0.32159,-0.0454215,0.9457889,0.1114662,-0.04051237,0.9929421,5.66391,5.66391,1,0.1,0.4837762,0.02413672
Black,-0.3230972,-0.04573803,0.9452598,0.1137708,-0.04147385,0.992641,5.599289,5.599289,1,0.1,0.5042787,0.02050251
Black,-0.3228904,-0.04562517,0.945336,0.110428,-0.04374699,0.9929209,5.590027,5.590027,1,0.1,0.5292526,0.02497387
Black,-0.3215183,-0.04458523,0.9458532,0.1256426,-0.02626073,0.9917279,5.52359,5.52359,1,0.1,0.548568,0.01931542
Black,-0.3182514,-0.04287603,0.9470363,0.1299593,-0.019928,0.9913191,5.040756,5.040756,1,0.1,0.5736488,0.0250808
Black,-0.3124613,-0.04241612,0.948983,0.1028915,-0.02478063,0.9943839,5.056183,5.056183,1,0.1,0.5925522,0.01890337
Black,-0.3040954,-0.04329448,0.9516573,0.1173716,-0.03184536,0.9925774,5.041351,5.041351,1,0.1,0.6185443,0.0259921
Black,-0.293514,-0.04467719,0.9549102,0.1109626,-0.03009053,0.9933689,4.77597,4.77597,1,0.1,0.636235,0.01769072
Black,-0.2809314,-0.04579606,0.9586346,0.08142147,-0.05400123,0.9952157,4.609146,4.609146,1,0.1,0.6644286,0.02819359
Black,-0.2666984,-0.04625611,0.9626694,0.07069406,-0.06262215,0.9955304,4.600769,4.600769,1,0.1,0.6823508,0.01792222
Black,-0.2516564,-0.04613491,0.9667163,0.08143742,-0.04847792,0.9954988,4.484268,4.484268,1,0.1,0.7073564,0.02500558
Black,-0.2359568,-0.04670971,0.9706403,0.08554132,-0.0139161,0.9962375,4.554169,4.554169,1,0.1,0.7261988,0.0188424
Black,-0.2190486,-0.04990636,0.9744368,0.05699191,-0.03315755,0.9978239,4.306259,4.306259,0.7277489,0.1,0.7510547,0.02485591
