Color,Camera X,Camera Y,Camera Z,Combine Gaze X,Combine Gaze Y,Combine Gaze Z,Left Pupil Diameter,Right Pupil Diameter,Left Eye Openness,Right Eye Openness,Total Time,Delta Time
Red,-0.06795876,-0.2021609,0.9769916,0,0,1,0,0,0,0,0,0
Red,-0.06795876,-0.2021609,0.9769916,-0.02639777,0.02648932,0.9993005,5.291748,5.291748,1,0.1,0.02,0.02
Red,-0.02883127,-0.115228,0.9929205,-0.09933529,-0.01696787,0.9949093,5.133514,5.133514,1,0.1357505,0.3533334,0.3333333
Red,-0.002356503,-0.14699,0.9891351,-0.0686349,-0.04502926,0.9966251,5.055191,5.055191,1,0.5299531,0.3835461,0.0302127
Red,-0.004959377,-0.1534417,0.9881453,-0.05743419,-0.0443879,0.997362,4.946533,4.946533,1,0.6048708,0.4094027,0.02585667
Red,-0.008046746,-0.1597866,0.9871188,-0.1002058,-0.06546107,0.992811,4.917465,4.917465,1,0.3714154,0.429849,0.0204463
Red,-0.01043469,-0.1645397,0.9863153,-0.126894,-0.07502861,0.9890746,4.905502,4.905502,1,1,0.4516785,0.02182952
Red,-0.0130027,-0.167184,0.98584,-0.1003739,-0.05137716,0.9936224,4.848251,4.848251,1,0.6062918,0.471476,0.0197975
Red,-0.01553254,-0.1681829,0.9856334,-0.06979454,-0.0249179,0.9972501,4.742081,4.742081,1,0.6004022,0.4945259,0.02304989
Red,-0.01804224,-0.1684628,0.9855428,-0.08154321,-0.03639232,0.9960052,4.726685,4.726685,1,0.4634238,0.5128266,0.01830062
Red,-0.02016439,-0.1679862,0.9855831,-0.08943187,-0.03831486,0.9952557,4.685379,4.685379,1,0.6393882,0.5391092,0.02628261
Red,-0.02208397,-0.1674417,0.9856346,-0.09674112,-0.04350299,0.9943584,4.584442,4.584442,1,0.8462443,0.5571907,0.01808149
Red,-0.02402999,-0.1670446,0.9856565,-0.1010438,-0.04690558,0.9937757,4.574539,4.574539,1,0.7530115,0.581902,0.02471131
Red,-0.02650619,-0.1665561,0.9856756,-0.09216391,-0.04286232,0.9948209,4.485962,4.485962,1,0.7271833,0.5989106,0.01700866
Red,-0.02921096,-0.1664272,0.985621,-0.08343533,-0.03909314,0.9957461,4.451187,4.451187,1,0.5980179,0.6262102,0.02729952
Red,-0.03239752,-0.1652946,0.985712,-0.08088735,-0.0339205,0.9961459,4.425537,4.425537,1,0.5577155,0.6448629,0.0186528
Red,-0.03678774,-0.1633757,0.9858778,-0.08830368,-0.04347282,0.9951445,4.381439,4.381439,1,0.653259,0.6723419,0.02747899
Red,-0.04159314,-0.160695,0.9861273,-0.07969758,-0.04155017,0.9959527,4.341553,4.341553,1,1,0.6902978,0.0179559
Red,-0.04649813,-0.1579033,0.9863592,-0.08210801,-0.04817227,0.9954585,4.247589,4.247589,1,0.7097074,0.7156942,0.02539641
Red,-0.05294021,-0.1568256,0.9862064,-0.08824289,-0.06779581,0.9937891,4.172241,4.172241,1,0.6634263,0.734207,0.01851279
Red,-0.06251509,-0.1559632,0.9857826,-0.0772562,-0.06172256,0.9950989,4.143311,4.143311,1,1,0.7602015,0.02599448
Red,-0.06850834,-0.1563833,0.9853177,-0.07534906,-0.06279089,0.9951783,4.087479,4.087479,1,0.7869418,0.779774,0.01957244
Red,-0.07521756,-0.1566851,0.9847802,-0.06483536,-0.06739887,0.9956173,3.943237,3.943237,1,0.6146424,0.8060439,0.02626991
Red,-0.07988625,-0.1543851,0.9847758,-0.04933234,-0.05186533,0.9974349,3.945175,3.945175,1,0.452227,0.8255134,0.0194695
Red,-0.08122088,-0.1540727,0.9847156,-0.04266385,-0.0499576,0.9978397,3.930542,3.930542,1,0.3734014,0.8498124,0.02429909
