Color,Camera X,Camera Y,Camera Z,Combine Gaze X,Combine Gaze Y,Combine Gaze Z,Left Pupil Diameter,Right Pupil Diameter,Left Eye Openness,Right Eye Openness,Total Time,Delta Time
Yellow,-0.2655119,-0.2372365,0.9344637,0,0,1,0,0,0,0,0,0
Yellow,-0.2655119,-0.2372365,0.9344637,0.03961224,0.1132367,0.9927781,5.455994,5.455994,1,1,0.02,0.02
Yellow,-0.3110395,-0.1799719,0.9332012,0.0406649,0.1029364,0.9938563,5.459915,5.459915,1,1,0.3533334,0.3333333
Yellow,-0.3141473,-0.1813158,0.9318992,0.04126038,0.09945826,0.9941859,5.462433,5.462433,1,1,0.3809469,0.02761358
Yellow,-0.3151088,-0.1816281,0.9315136,0.04440359,0.1020672,0.993786,5.465256,5.465256,1,1,0.4067037,0.02575681
Yellow,-0.3155208,-0.1827961,0.9311456,0.04306086,0.1033644,0.9937111,5.457581,5.457581,1,1,0.4303741,0.02367041
Yellow,-0.3162957,-0.1846953,0.9305078,0.04185538,0.1013501,0.99397,5.426437,5.426437,1,1,0.4552851,0.02491099
Yellow,-0.3169496,-0.1861723,0.9299907,0.04438847,0.1032272,0.9936668,5.427567,5.427567,1,1,0.4740133,0.0187282
Yellow,-0.3168985,-0.1872505,0.9297917,0.07609672,0.09399555,0.9926601,5.041153,5.041153,1,1,0.4992372,0.02522391
Yellow,-0.3163877,-0.188117,0.9297907,0.175143,-0.03102159,0.9840541,5.188004,5.188004,1,1,0.5171189,0.01788169
Yellow,-0.3151333,-0.1894682,0.9299424,0.1797809,-0.03027375,0.9832407,5.131592,5.131592,1,1,0.5462074,0.02908844
Yellow,-0.3131168,-0.1913868,0.9302306,0.1757055,-0.02067573,0.9842256,5.106781,5.106781,1,1,0.5660958,0.01988846
Yellow,-0.3106084,-0.193448,0.930645,0.2406012,0.04237377,0.9696987,5.110016,5.110016,1,1,0.5894564,0.02336061
Yellow,-0.3073702,-0.1962095,0.931142,0.1970071,0.003189101,0.9803969,4.986115,4.986115,1,1,0.6082813,0.01882482
Yellow,-0.3038628,-0.1989347,0.9317148,0.1737832,-0.0128327,0.9847003,4.677536,4.677536,1,1,0.6328483,0.02456707
Yellow,-0.3000063,-0.2019941,0.9323061,0.1709908,-0.01777658,0.9851122,4.418793,4.418793,1,1,0.6522595,0.01941115
Yellow,-0.2950798,-0.2049629,0.9332299,0.1707315,-0.01152045,0.9852502,4.39801,4.39801,1,1,0.679101,0.02684158
Yellow,-0.2897822,-0.2076332,0.9342991,0.1780721,0.01431291,0.9839134,4.344437,4.344437,1,1,0.6976675,0.01856649
Yellow,-0.2832479,-0.2097906,0.9358197,0.1691466,0.01782258,0.9854298,4.144699,4.144699,1,1,0.7210642,0.02339661
Yellow,-0.2765144,-0.2109326,0.9375752,0.1643376,0.004974378,0.9863916,4.130203,4.130203,1,1,0.7401444,0.01908028
Yellow,-0.2694139,-0.2114035,0.9395343,0.167542,0.04333509,0.984912,4.134491,4.134491,1,1,0.766048,0.02590358
Yellow,-0.2619397,-0.2116148,0.9415979,0.169741,0.08348192,0.9819464,4.085388,4.085388,1,1,0.7850031,0.01895511
Yellow,-0.2544053,-0.2113827,0.9437135,0.2148447,0.01838692,0.9764751,3.917664,3.917664,1,1,0.8100454,0.02504224
Yellow,-0.2466173,-0.2106264,0.9459474,0.1867378,-0.03869643,0.9816474,3.950027,3.950027,1,1,0.8295169,0.01947159
Yellow,-0.2381014,-0.2088522,0.9485191,0.1854111,-0.03553802,0.9820182,3.860962,3.860962,1,1,0.8542016,0.02468461
Yellow,-0.2287643,-0.2067491,0.9512737,0.1844511,-0.003891052,0.982834,3.776093,3.776093,1,1,0.873067,0.01886547
Yellow,-0.2189538,-0.2041927,0.9541302,0.1784063,0.003509532,0.9839506,3.728241,3.728241,1,1,0.9001995,0.02713251
Yellow,-0.2096171,-0.2017272,0.9567481,0.1662614,0.002487208,0.9860786,3.657761,3.657761,1,1,0.9189492,0.01874971
Yellow,-0.20108,-0.1999948,0.9589416,0.1640633,0.02432263,0.9861499,3.61554,3.61554,1,1,0.9425781,0.02362889
Yellow,-0.1933925,-0.1988597,0.9607571,0.1598215,0.052399,0.9857543,3.590851,3.590851,1,1,0.9636343,0.02105612
Yellow,-0.1871095,-0.1984057,0.9620942,0.156404,0.04686015,0.9865809,3.54187,3.54187,1,1,0.9880611,0.02442688
