Color,Camera X,Camera Y,Camera Z,Combine Gaze X,Combine Gaze Y,Combine Gaze Z,Left Pupil Diameter,Right Pupil Diameter,Left Eye Openness,Right Eye Openness,Total Time,Delta Time
Red,-0.0750256,-0.3065762,0.9488847,0,0,1,0,0,0,0,0,0
Red,-0.0750256,-0.3065762,0.9488847,0.1441211,0.1844048,0.9722263,5.304199,5.304199,1,1,0.02,0.02
Red,-0.1891408,-0.2897365,0.9382316,0.2373983,0.06573544,0.9691857,5.295151,5.295151,1,1,0.3533334,0.3333333
Red,-0.1760154,-0.2515077,0.9517156,0.3067218,-0.04512095,0.9507291,5.372665,5.372665,1,1,0.38359,0.03025669
Red,-0.1738103,-0.2514146,0.9521453,0.3045226,-0.05516106,0.9509065,5.357956,5.357956,1,1,0.4066061,0.0230161
Red,-0.171268,-0.2512574,0.9526474,0.2782011,-0.03164706,0.9600013,5.034637,5.034637,1,1,0.4283108,0.0217047
Red,-0.1681733,-0.2509747,0.9532731,0.3153284,-0.09515548,0.9441999,4.997543,4.997543,1,1,0.4506502,0.02233931
Red,-0.1649437,-0.2512986,0.9537519,0.3204058,-0.1047369,0.9414724,4.954086,4.954086,1,1,0.4697286,0.01907849
Red,-0.1614947,-0.2520913,0.9541327,0.3019108,-0.0804292,0.9499373,4.957474,4.957474,1,1,0.4908035,0.0210748
Red,-0.1582142,-0.252624,0.9545414,0.08685321,0.1655887,0.9823629,4.69809,4.69809,1,1,0.5081549,0.01735142
Red,-0.1552673,-0.25183,0.9552349,0.1044937,0.1075607,0.9886919,4.541107,4.541107,1,1,0.5373558,0.02920097
Red,-0.1525162,-0.2506741,0.9559819,0.1046764,0.0434575,0.9935564,4.369568,4.369568,1,1,0.5582342,0.02087837
Red,-0.1500302,-0.24949,0.9566848,0.05751061,0.1527411,0.9865915,4.406677,4.406677,1,1,0.5799947,0.02176052
Red,-0.1474231,-0.2491713,0.957173,0.1338662,0.1240394,0.983206,4.290421,4.290421,1,1,0.5996026,0.0196079
