Color,Camera X,Camera Y,Camera Z,Combine Gaze X,Combine Gaze Y,Combine Gaze Z,Left Pupil Diameter,Right Pupil Diameter,Left Eye Openness,Right Eye Openness,Total Time,Delta Time
Green,-0.3417975,0.3232457,0.8824322,0,0,1,0,0,0,0,0,0
Green,-0.3417975,0.3232457,0.8824322,-0.107026,-0.01988237,0.9940574,3.945984,3.945984,1,0.1,0.02,0.02
Green,-0.1789183,-0.0242615,0.9835647,-0.07289217,-0.04834047,0.9961676,3.920105,3.920105,1,0.1,0.3406935,0.3206935
Green,-0.1772986,-0.03434486,0.9835576,-0.07815669,-0.03997863,0.9961392,3.923111,3.923111,1,0.1,0.3765566,0.0358631
Green,-0.1766219,-0.03439951,0.9836775,-0.08873001,-0.04248054,0.9951494,3.969467,3.969467,1,0.1,0.3992314,0.0226748
Green,-0.1758251,-0.03475873,0.9838076,-0.0800641,-0.04698254,0.9956819,3.916504,3.916504,1,0.1,0.4232082,0.0239768
Green,-0.1752643,-0.03491311,0.9839022,-0.09007289,-0.0452577,0.9949064,4.009933,4.009933,1,0.1,0.4432648,0.02005661
Green,-0.174516,-0.03501796,0.9840314,-0.09599357,-0.04086326,0.9945428,4.00827,4.00827,1,0.1,0.4646524,0.02138758
Green,-0.1737309,-0.03478009,0.9841788,-0.09916805,-0.0448156,0.994061,4.006714,4.006714,1,0.1,0.4822761,0.01762372
Green,-0.1727705,-0.03505067,0.9843383,-0.09927449,-0.04730263,0.9939351,4.051941,4.051941,1,0.1,0.5090824,0.02680627
Green,-0.1715496,-0.03563161,0.9845309,0.008590799,-0.04902707,0.9987605,4.067352,4.067352,1,0.1,0.5280149,0.01893252
Green,-0.1704176,-0.0362154,0.9847062,0.04878305,-0.05815208,0.9971151,4.171097,4.171097,1,0.1,0.5535247,0.02550977
Green,-0.1688929,-0.03604538,0.9849751,0.04637192,-0.060166,0.9971107,4.091217,4.091217,1,0.1,0.5718592,0.01833451
Green,-0.1680232,-0.03556252,0.9851413,0.04182465,-0.06829885,0.9967878,4.099075,4.099075,1,1,0.5983163,0.02645713
Green,-0.167231,-0.03550995,0.985278,0.03550729,-0.08119223,0.9960658,4.150131,4.150131,1,0.5154991,0.6164649,0.0181486
Green,-0.1663633,-0.0356363,0.9854203,0.0371095,-0.07559229,0.996448,4.152023,4.152023,1,1,0.6415005,0.02503556
Green,-0.1652276,-0.03578462,0.9856061,0.0384219,-0.07447867,0.9964822,4.153687,4.153687,1,1,0.6604072,0.01890671
Green,-0.1641886,-0.03609137,0.9857685,0.03929182,-0.07272419,0.9965778,4.155289,4.155289,1,0.7893872,0.6852764,0.0248692
Green,-0.1629287,-0.03641832,0.9859655,0.03952032,-0.07315073,0.9965376,4.1521,4.1521,1,1,0.704528,0.01925159
Green,-0.1618196,-0.03702987,0.9861253,0.03923083,-0.07560824,0.9963655,4.154877,4.154877,1,1,0.729815,0.02528703
Green,-0.159464,-0.03750573,0.986491,0.03575188,-0.08186464,0.996002,4.14241,4.14241,1,1,0.7484868,0.01867181
Green,-0.1559654,-0.03796238,0.9870327,0.03593491,-0.08580127,0.995664,4.129135,4.129135,1,0.8168958,0.7750963,0.02660948
Green,-0.1516301,-0.03891874,0.9876708,0.04682961,-0.08502267,0.9952779,3.917252,3.917252,1,1,0.793133,0.01803672
Green,-0.1465793,-0.03957978,0.9884067,0.08024605,-0.07882698,0.9936533,3.972366,3.972366,1,1,0.8194091,0.02627605
Green,-0.1409449,-0.04074397,0.9891787,0.0759591,-0.08642674,0.9933583,3.782318,3.782318,1,1,0.8363026,0.01689351
Green,-0.1358419,-0.0417451,0.9898506,0.06913861,-0.08418401,0.9940488,3.81665,3.81665,1,1,0.8633807,0.02707809
Green,-0.1308344,-0.04188448,0.9905191,0.06424015,-0.08065878,0.9946695,3.815247,3.815247,1,1,0.8820449,0.01866424
Green,-0.1255541,-0.04120468,0.9912308,0.06517055,-0.08055147,0.9946176,3.773163,3.773163,1,1,0.9073925,0.02534759
Green,-0.1200487,-0.0404714,0.9919428,0.05961702,-0.0801862,0.9949955,3.756927,3.756927,1,1,0.9273266,0.01993412
Green,-0.1145119,-0.04001666,0.9926156,0.0592199,-0.07942272,0.9950804,3.745895,3.745895,1,1,0.9523874,0.02506077
Green,-0.108463,-0.04049767,0.9932753,0.05314671,-0.08543451,0.9949253,3.701355,3.701355,1,0.4410791,0.9714854,0.01909798
Green,-0.1025343,-0.04142042,0.9938667,0.05146827,-0.08801334,0.9947887,3.656723,3.656723,1,0.7812033,0.9971228,0.02563745
Green,-0.09679471,-0.04286603,0.9943808,0.04083287,-0.091935,0.9949274,3.532059,3.532059,1,0.40488,1.015919,0.01879603
Green,-0.09154871,-0.04403587,0.9948265,0.03950555,-0.08773924,0.9953598,3.444916,3.444916,1,1,1.041515,0.02559578
Green,-0.08668208,-0.04459541,0.9952374,0.03730806,-0.08841019,0.9953852,3.395233,3.395233,1,0.5168871,1.059711,0.01819587
Green,-0.08106726,-0.0442452,0.995726,0.03465281,-0.08679224,0.9956236,3.327713,3.327713,1,0.2751954,1.085085,0.02537441
Green,-0.07451301,-0.04407468,0.9962456,0.02879354,-0.08320678,0.9961163,3.256119,3.256119,1,0.4213016,1.10354,0.01845503
Green,-0.06755562,-0.04435527,0.9967291,0.02130155,-0.08816645,0.995878,3.240677,3.240677,1,0,1.130251,0.02671146
Green,-0.0611331,-0.04452993,0.9971358,0.01979069,-0.091675,0.9955923,3.190353,3.190353,1,0,1.148476,0.01822495
Green,-0.05595285,-0.04359652,0.9974812,0.01722723,-0.08532745,0.996204,3.141037,3.141037,1,0,1.175599,0.02712238
Green,-0.05203845,-0.04260065,0.997736,0.0003051798,-0.08676261,0.9962289,3.104279,3.104279,1,0.1,1.192961,0.01736271
Green,-0.04932964,-0.04153847,0.9979184,-0.006408716,-0.0912479,0.9958076,3.092804,3.092804,1,0.1,1.218382,0.02542078
Green,-0.0474967,-0.04093365,0.9980323,-0.006134048,-0.08667013,0.9962182,3.077362,3.077362,1,0.1,1.237328,0.01894557
Green,-0.04627478,-0.04022484,0.9981185,-0.01254287,-0.08639629,0.9961818,3.046738,3.046738,1,0.1,1.264313,0.02698493
Green,-0.04597698,-0.03927445,0.9981701,-0.0185397,-0.09196607,0.9955896,3.036041,3.036041,1,0.1,1.282014,0.01770163
Green,-0.04654425,-0.03839222,0.9981782,-0.01982134,-0.09628382,0.9951565,3.019348,3.019348,1,0.1,1.307956,0.02594113
Green,-0.04729741,-0.03789589,0.9981617,-0.01730363,-0.09707732,0.9951264,3.009079,3.009079,1,0.1,1.326929,0.01897383
Green,-0.04813108,-0.03697993,0.9981562,-0.0176393,-0.09780961,0.9950488,2.985565,2.985565,1,0.1,1.352529,0.02559996
Green,-0.04845113,-0.03579847,0.9981838,-0.02026381,-0.09700076,0.995078,2.967194,2.967194,1,0.1,1.370957,0.01842725
Green,-0.04875865,-0.03555008,0.9981777,-0.02081309,-0.09799243,0.9949695,2.928955,2.928955,1,0.1,1.397398,0.02644122
Green,-0.04883807,-0.03522988,0.9981852,-0.01974501,-0.1009376,0.9946968,2.906082,2.906082,1,0.1,1.415841,0.01844347
Green,-0.04854055,-0.03397113,0.9982433,-0.01904327,-0.1029221,0.9945071,2.894592,2.894592,1,0.1,1.442647,0.026806
Green,-0.04778461,-0.03358101,0.998293,-0.01820388,-0.1060494,0.9941942,2.857758,2.857758,1,0.1,1.461938,0.01929033
Green,-0.04714449,-0.03394293,0.9983112,-0.01792918,-0.1068274,0.9941159,2.841705,2.841705,1,0.1,1.485548,0.02361071
Green,-0.04642882,-0.03473448,0.9983175,-0.02009599,-0.1041116,0.9943625,2.830002,2.830002,1,0.1,1.503595,0.01804698
Green,-0.0445853,-0.03632994,0.9983448,-0.01298528,-0.09796178,0.9951055,2.772949,2.772949,1,0.1,1.529763,0.02616775
Green,-0.04294696,-0.03880516,0.9983234,0.003540064,-0.08815066,0.9961009,2.83107,2.83107,1,0.1,1.54838,0.01861727
Green,-0.0413743,-0.04083107,0.9983091,0.002670301,-0.08906597,0.9960222,2.837067,2.837067,1,0.1,1.576964,0.02858412
Green,-0.04037805,-0.04077491,0.9983521,0.001068122,-0.08648735,0.9962524,2.795609,2.795609,1,0.1,1.595716,0.01875198
Green,-0.03944769,-0.03905221,0.9984582,-0.001495365,-0.09046961,0.9958981,2.762833,2.762833,1,0.1,1.618003,0.02228665
Green,-0.03831069,-0.03802101,0.9985423,-0.003036543,-0.09013496,0.9959249,2.752213,2.752213,1,0.1,1.637101,0.01909757
Green,-0.03795515,-0.03903431,0.9985168,-0.00338749,-0.08862406,0.9960594,2.752121,2.752121,1,0.1,1.663109,0.02600884
Green,-0.03847764,-0.04034108,0.9984448,-0.005538946,-0.086197,0.9962627,2.749802,2.749802,1,0.1,1.682108,0.01899898
Green,-0.03902531,-0.0397194,0.9984485,-0.01023876,-0.09346108,0.9955703,2.73793,2.73793,1,0.1,1.70822,0.02611196
Green,-0.03921357,-0.03853751,0.9984874,-0.008682298,-0.08935596,0.9959619,2.737854,2.737854,1,0.1,1.727027,0.01880658
Green,-0.04005049,-0.03781485,0.9984818,-0.009994583,-0.0900428,0.9958877,2.756042,2.756042,1,0.1,1.752722,0.02569532
Green,-0.04044654,-0.03725323,0.998487,-0.0116425,-0.09022556,0.9958533,2.766159,2.766159,1,0.1,1.771006,0.01828325
Green,-0.04093355,-0.03739696,0.9984618,-0.01101701,-0.09018078,0.9958645,2.766632,2.766632,1,0.1,1.796048,0.02504253
Green,-0.04170104,-0.03722971,0.9984363,-0.009307963,-0.0917521,0.9957384,2.784515,2.784515,1,0.1,1.816203,0.02015519
Green,-0.04209137,-0.03701103,0.998428,-0.008895888,-0.09039321,0.9958664,2.788513,2.788513,1,0.1,1.841455,0.02525187
Green,-0.04239022,-0.03768456,0.9983902,-0.007202226,-0.08805942,0.9960892,2.785217,2.785217,1,0.1,1.860012,0.01855695
Green,-0.04207505,-0.03793865,0.9983938,-0.0062409,-0.09137044,0.9957974,2.769409,2.769409,1,0.1,1.885405,0.02539337
Green,-0.04156112,-0.03822722,0.9984044,-0.00427248,-0.09219401,0.9957319,2.770645,2.770645,1,0.1,1.902291,0.01688564
Green,-0.04102896,-0.03894781,0.9983985,-0.003997813,-0.09106469,0.995837,2.77005,2.77005,1,0.1,1.928895,0.02660358
Green,-0.039988,-0.04003773,0.9983976,-0.003494284,-0.0905462,0.9958861,2.74733,2.74733,1,0.1,1.949034,0.02013898
