Color,Camera X,Camera Y,Camera Z,Combine Gaze X,Combine Gaze Y,Combine Gaze Z,Left Pupil Diameter,Right Pupil Diameter,Left Eye Openness,Right Eye Openness,Total Time,Delta Time
Yellow,-0.3731191,0.2211909,0.9010309,0,0,1,0,0,0,0,0,0
Yellow,-0.3731191,0.2211909,0.9010309,-0.005951004,-0.09823734,0.9951452,3.752243,3.752243,1,1,0.02,0.02
Yellow,-0.1600573,-0.05782058,0.9854128,0.009262227,-0.08264286,0.9965362,3.815674,3.815674,1,1,0.3323859,0.3123859
Yellow,-0.1704667,-0.07397219,0.9825829,0.005874696,-0.08918856,0.9959974,3.808945,3.808945,1,1,0.3669614,0.03457549
Yellow,-0.1694804,-0.074762,0.9826937,0.008224615,-0.09013506,0.9958956,3.815216,3.815216,1,1,0.3908286,0.02386722
Yellow,-0.1678506,-0.07432682,0.9830065,0.004058897,-0.08270383,0.9965659,3.797089,3.797089,1,1,0.4138793,0.0230507
Yellow,-0.1651102,-0.07429392,0.9834729,0.0008239817,-0.08575513,0.9963159,3.809189,3.809189,1,1,0.4366732,0.02279389
Yellow,-0.1617326,-0.07566866,0.9839293,-0.003753679,-0.08937112,0.9959913,3.816391,3.816391,1,1,0.45839,0.0217168
Yellow,-0.1581373,-0.0782763,0.9843096,-0.007598986,-0.09253063,0.9956809,3.820831,3.820831,1,1,0.4792755,0.0208855
Yellow,-0.1547417,-0.08135182,0.9845998,-0.007186918,-0.08967625,0.995945,3.855179,3.855179,1,1,0.5016467,0.0223712
Yellow,-0.1518227,-0.0830849,0.9849095,-0.0126191,-0.09321652,0.9955659,3.8806,3.8806,1,1,0.5212372,0.0195905
Yellow,-0.1489928,-0.08384622,0.9852771,-0.0003814712,-0.09063755,0.9958839,3.784988,3.784988,1,1,0.5415947,0.02035749
Yellow,-0.1463115,-0.08564904,0.9855238,0.05378782,-0.08020107,0.9953264,3.772079,3.772079,1,1,0.5677677,0.026173
Yellow,-0.1433444,-0.08804545,0.9857486,0.04672245,-0.07632453,0.9959878,3.819275,3.819275,1,1,0.5900335,0.02226579
Yellow,-0.1396655,-0.087492,0.9863259,0.04402186,-0.0838628,0.9955045,3.67775,3.67775,1,1,0.6115146,0.02148116
Yellow,-0.1349486,-0.08544492,0.9871616,0.04112254,-0.08729575,0.9953333,3.702469,3.702469,1,1,0.6326673,0.02115268
Yellow,-0.130184,-0.08498171,0.9878412,0.04220633,-0.08613693,0.9953889,3.699646,3.699646,1,1,0.6562555,0.02358818
Yellow,-0.1248086,-0.08622447,0.9884271,0.03967296,-0.08551048,0.9955471,3.682846,3.682846,1,1,0.6774491,0.02119362
Yellow,-0.1186994,-0.08731454,0.9890838,0.03183006,-0.08410704,0.9959483,3.710022,3.710022,1,1,0.6989679,0.02151877
Yellow,-0.1119596,-0.08728379,0.9898719,0.02555864,-0.08779963,0.9958102,3.589676,3.589676,1,0,0.7217391,0.02277124
Yellow,-0.1047906,-0.08763228,0.9906258,0,0,1,-1,-1,0.6787652,0,0.7443791,0.02263999
Yellow,-0.0982687,-0.08802958,0.9912588,0,0,1,-1,-1,0.03253538,0,0.7657068,0.02132767
Yellow,-0.09247912,-0.08770268,0.9918447,0,0,1,-1,-1,0.03568632,0,0.7875511,0.02184433
Yellow,-0.08727966,-0.08557133,0.9925018,0,0,1,-1,-1,0.2640028,0,0.8105831,0.02303201
Yellow,-0.0826086,-0.08332122,0.9930928,0,0,1,2.702103,2.702103,0.6013938,0,0.8319854,0.0214023
Yellow,-0.07859933,-0.08234471,0.9934996,0.04673812,-0.02191183,0.9986668,3.245331,3.245331,0.9326888,0,0.8536133,0.0216279
Yellow,-0.07518271,-0.08178639,0.9938101,0.04888929,-0.008651757,0.9987667,3.356766,3.356766,1,0.1,0.8774867,0.02387339
Yellow,-0.07279342,-0.08129247,0.9940285,0.05529794,-0.02952581,0.9980332,3.41188,3.41188,1,0.1,0.8985902,0.0211035
Yellow,-0.07079668,-0.08064416,0.9942255,0.04400644,-0.01690677,0.9988882,3.401443,3.401443,1,1,0.9205886,0.02199841
Yellow,-0.06896683,-0.08043485,0.9943711,0.0446783,-0.01631185,0.9988683,3.339523,3.339523,1,1,0.9433731,0.02278447
Yellow,-0.06731474,-0.08146515,0.9944004,0.04519723,-0.01355001,0.9988862,3.268051,3.268051,1,1,0.9645608,0.02118772
Yellow,-0.06589903,-0.08370217,0.9943094,0.04420519,-0.01261916,0.9989428,3.268448,3.268448,1,1,0.9884173,0.02385652
Yellow,-0.06438529,-0.08519909,0.9942815,0.03616371,-0.01948567,0.9991559,3.221634,3.221634,1,1,1.010043,0.02162594
Yellow,-0.06269032,-0.08506073,0.9944017,0.03970342,-0.01379396,0.9991163,3.149124,3.149124,1,1,1.032716,0.02267313
Yellow,-0.06094217,-0.08398183,0.994602,0.04332005,-0.02273578,0.9988025,3.023987,3.023987,1,1,1.054142,0.02142513
Yellow,-0.05986197,-0.08293704,0.9947553,0.03906263,-0.02326973,0.9989658,3.182236,3.182236,1,1,1.076936,0.02279449
Yellow,-0.05904273,-0.08281972,0.994814,0.02041649,-0.03770489,0.9990804,3.088593,3.088593,1,1,1.098121,0.02118516
Yellow,-0.05848231,-0.08458079,0.9946989,0.01983654,-0.03971886,0.999014,3.135239,3.135239,1,1,1.1216,0.02347839
Yellow,-0.05802402,-0.0881981,0.9944115,0.02006549,-0.0399021,0.9990021,3.110992,3.110992,1,1,1.144366,0.02276623
Yellow,-0.0571819,-0.08782289,0.9944935,0.02145387,-0.02967836,0.9993292,3.073471,3.073471,1,1,1.164785,0.02041876
Yellow,-0.05754813,-0.08535977,0.9946868,0.02275117,-0.03225753,0.9992206,3.035049,3.035049,1,1,1.187243,0.02245796
Yellow,-0.05802732,-0.08315427,0.9948458,0.02232368,-0.03469859,0.9991485,3.029449,3.029449,1,1,1.208909,0.02166629
Yellow,-0.05820653,-0.08166164,0.994959,0.01965333,-0.03717044,0.9991156,3.034119,3.034119,1,1,1.231716,0.022807
Yellow,-0.05826476,-0.0812186,0.9949918,0.01896685,-0.03770481,0.9991089,3.076599,3.076599,1,1,1.254798,0.02308214
Yellow,-0.05855644,-0.08050723,0.9950325,0.01968414,-0.03462272,0.9992066,3.038803,3.038803,1,1,1.277147,0.02234888
Yellow,-0.05890413,-0.07975744,0.9950724,0.02021814,-0.03778123,0.9990815,3.076141,3.076141,1,1,1.298573,0.02142572
Yellow,-0.05900558,-0.0794897,0.9950877,0.01896687,-0.03807108,0.999095,3.046555,3.046555,1,1,1.320658,0.02208555
Yellow,-0.05848511,-0.0795323,0.9951152,0.01925674,-0.03878815,0.9990619,3.046249,3.046249,1,1,1.344508,0.02384973
Yellow,-0.05740552,-0.07880635,0.9952358,0.02017241,-0.04196227,0.9989156,3.045944,3.045944,1,1,1.365302,0.02079391
Yellow,-0.05621647,-0.07878578,0.9953052,0.01976022,-0.04310626,0.9988751,3.030884,3.030884,1,1,1.386575,0.02127314
Yellow,-0.05582229,-0.07968377,0.9952559,0.01976032,-0.04226725,0.9989109,3.026886,3.026886,1,1,1.409825,0.02324998
Yellow,-0.05518337,-0.08091729,0.9951921,0.01762399,-0.04570031,0.9987997,2.987915,2.987915,1,1,1.431603,0.02177846
Yellow,-0.0544805,-0.08127677,0.9952014,0.0190585,-0.0459296,0.9987628,2.985916,2.985916,1,1,1.45433,0.02272713
Yellow,-0.05342076,-0.0811695,0.9952677,0.01806652,-0.045502,0.9988009,2.966629,2.966629,1,1,1.476843,0.02251267
Yellow,-0.05257341,-0.08099405,0.9953271,0.01707467,-0.04591392,0.9987994,2.966187,2.966187,1,1,1.497497,0.02065372
Yellow,-0.0519734,-0.08172614,0.9952987,0.01658643,-0.04829444,0.9986954,2.963089,2.963089,1,1,1.520565,0.02306795
Yellow,-0.05188015,-0.08123025,0.9953442,0.01522829,-0.04531864,0.9988565,2.940674,2.940674,1,1,1.54219,0.0216248
Yellow,-0.05205756,-0.08056948,0.9953886,0.01525893,-0.04234352,0.9989866,2.900131,2.900131,1,1,1.566213,0.02402365
Yellow,-0.05223358,-0.08017535,0.9954113,0.01719679,-0.04444921,0.9988636,2.90097,2.90097,1,1,1.588444,0.0222311
Yellow,-0.05261821,-0.08017736,0.9953909,0.01475546,-0.0484321,0.9987175,2.86528,2.86528,1,1,1.61118,0.0227356
Yellow,-0.05291475,-0.08103195,0.9953059,0.01445018,-0.04835546,0.9987257,2.831131,2.831131,1,1,1.631838,0.02065778
Yellow,-0.05296445,-0.08110792,0.9952971,0.01301595,-0.05073628,0.9986273,2.825623,2.825623,1,1,1.654554,0.02271593
Yellow,-0.05279063,-0.080059,0.9953912,0.01347354,-0.0487367,0.9987208,2.811554,2.811554,1,1,1.676679,0.02212584
Yellow,-0.05218928,-0.07919127,0.9954923,0.01405356,-0.04986648,0.998657,2.811279,2.811279,1,1,1.698164,0.02148426
Yellow,-0.05188716,-0.07908983,0.9955162,0.01287845,-0.05365004,0.9984767,2.797958,2.797958,1,1,1.720215,0.0220511
Yellow,-0.05141144,-0.0792974,0.9955244,0.01318377,-0.05366586,0.9984719,2.810623,2.810623,1,1,1.742572,0.02235746
Yellow,-0.05116278,-0.0795394,0.9955179,0.01338205,-0.05229224,0.9985422,2.819153,2.819153,1,1,1.766099,0.02352703
Yellow,-0.0507894,-0.07894859,0.9955841,0.01368731,-0.04783691,0.9987614,2.841629,2.841629,1,1,1.787395,0.02129602
Yellow,-0.05096418,-0.07809041,0.9956428,0.01451119,-0.04899625,0.9986935,2.842392,2.842392,1,1,1.809038,0.02164233
Yellow,-0.05106621,-0.07807041,0.9956391,0.01295477,-0.04975915,0.9986773,2.860245,2.860245,1,1,1.831049,0.02201176
Yellow,-0.05109884,-0.07862861,0.9955935,0.01083377,-0.05149856,0.9986143,2.83873,2.83873,1,1,1.854478,0.02342868
Yellow,-0.05118814,-0.07860834,0.9955905,0.01097124,-0.05181964,0.9985962,2.81691,2.81691,1,1,1.876312,0.02183402
Yellow,-0.05069691,-0.07807197,0.9956579,0.01171879,-0.05218522,0.9985687,2.810684,2.810684,1,1,1.898285,0.02197242
Yellow,-0.050626,-0.0771715,0.9957317,0.01205458,-0.05725162,0.998287,2.805893,2.805893,1,1,1.921071,0.0227865
Yellow,-0.05063104,-0.07693958,0.9957494,0.01203934,-0.05801468,0.9982432,2.789871,2.789871,1,1,1.942563,0.02149153
Yellow,-0.05079072,-0.07740474,0.9957051,0.01208498,-0.05328378,0.9985063,2.834061,2.834061,1,1,1.966623,0.02406025
Yellow,-0.05107932,-0.07807378,0.9956382,-0.001251235,-0.06129523,0.9981189,2.765579,2.765579,1,1,1.988164,0.0215416
Red,-0.05084702,-0.07813708,0.9956452,-0.00837717,-0.05493227,0.998455,2.728317,2.728317,1,1,2.01004,0.02187538
Red,-0.04872067,-0.07748864,0.9958021,-0.007461594,-0.05432163,0.9984956,2.734192,2.734192,1,1,2.070187,0.06014705
Red,-0.0482664,-0.07700013,0.9958621,-0.007431105,-0.04986622,0.9987283,2.754547,2.754547,1,1,2.088944,0.01875734
Red,-0.0479007,-0.07618661,0.9959423,-0.009216441,-0.05159071,0.9986258,2.766815,2.766815,1,1,2.120997,0.03205323
Red,-0.04775186,-0.07548857,0.9960026,-0.008545037,-0.05230784,0.9985945,2.766876,2.766876,1,1,2.14281,0.02181292
