Index,Color,Talking,Camera X,Camera Y,Camera Z,Combine Gaze X,Combine Gaze Y,Combine Gaze Z,Left Pupil Diameter,Right Pupil Diameter,Left Eye Openness,Right Eye Openness,Total Time,Delta Time
0,Yellow,False,-0.2485307,0.3392023,0.9072896,0,0,1,0,0,0,0,0,0
0,Yellow,False,-0.2485307,0.3392023,0.9072896,-0.01918047,-0.03331023,0.999261,3.972229,3.972229,1,1,0.02,0.02
0,Yellow,False,-0.1331047,-0.0519247,0.9897408,-0.05809029,0.03988653,0.9975142,3.883469,3.883469,1,1,0.3533334,0.3333333
0,Yellow,False,-0.1249768,-0.04627318,0.99108,-0.05096501,0.03743029,0.9979988,3.921921,3.921921,1,1,0.3810487,0.02771538
0,Yellow,False,-0.1238525,-0.04585172,0.9912407,-0.0376896,0.0440831,0.9983167,3.945786,3.945786,1,1,0.3990667,0.01801801
0,Yellow,False,-0.1230413,-0.04525358,0.9913692,-0.01997384,0.04473897,0.998799,3.98645,3.98645,1,1,0.4182661,0.0191994
0,Yellow,False,-0.1223005,-0.04457664,0.9914916,-0.03143319,0.04257213,0.9985988,3.983368,3.983368,1,1,0.4412783,0.02301219
0,Yellow,False,-0.1218447,-0.04489016,0.9915335,-0.03329482,0.03720108,0.998753,3.988007,3.988007,1,1,0.4630739,0.0217956
0,Yellow,False,-0.121268,-0.04526014,0.9915875,0.01449601,0.003402748,0.9998891,4.019836,4.019836,1,1,0.4858354,0.02276149
0,Yellow,False,-0.1212839,-0.04539743,0.9915792,0.009170614,-0.01716629,0.9998106,4.038239,4.038239,1,1,0.5079811,0.02214563
0,Yellow,False,-0.1213788,-0.04543297,0.991566,0.01435853,-0.02603151,0.999558,4.04071,4.04071,1,1,0.5288669,0.02088588
0,Yellow,False,-0.1214525,-0.04586757,0.9915369,-0.002777134,-0.03218118,0.9994782,4.054276,4.054276,1,1,0.5517284,0.02286148
0,Yellow,False,-0.121428,-0.04652074,0.9915095,-0.00270081,-0.02905278,0.9995742,4.042526,4.042526,1,1,0.5746228,0.02289432
0,Yellow,False,-0.1214373,-0.04669173,0.9915003,-0.0001373303,-0.02557395,0.9996729,4.008774,4.008774,1,1,0.5965871,0.02196437
