Index,Color,Talking,Camera X,Camera Y,Camera Z,Combine Gaze X,Combine Gaze Y,Combine Gaze Z,Left Pupil Diameter,Right Pupil Diameter,Left Eye Openness,Right Eye Openness,Total Time,Delta Time
0,Green,False,-0.2246266,0.3337954,0.9154909,0,0,1,0,0,0,0,0,0
0,Green,False,-0.2246266,0.3337954,0.9154909,0,0,1,3.181839,3.181839,0.5278204,0.6041481,0.02,0.02
0,Green,False,-0.1259321,-0.09308987,0.9876615,0.05183489,-0.03657587,0.9979856,3.34845,3.34845,1,1,0.3497589,0.3297589
0,Green,False,-0.1105643,-0.0918276,0.9896178,0.03948987,-0.06475851,0.9971193,3.315842,3.315842,1,1,0.3795005,0.02974162
0,Green,False,-0.1073172,-0.09092233,0.9900587,0.04174832,-0.06517071,0.9970005,3.313324,3.313324,1,1,0.3989379,0.0194374
0,Green,False,-0.1056306,-0.0891576,0.9904005,0.03933718,-0.06628422,0.9970251,3.30191,3.30191,1,1,0.419242,0.02030408
0,Green,False,-0.1050098,-0.08702774,0.990656,0.03741458,-0.06123357,0.997422,3.325027,3.325027,1,1,0.4420032,0.0227612
0,Green,False,-0.1049824,-0.08470225,0.9908603,0.03035011,-0.05996779,0.9977388,3.326294,3.326294,1,1,0.4638997,0.02189651
0,Green,False,-0.1049485,-0.08219939,0.9910747,0.02793896,-0.06076076,0.9977612,3.343903,3.343903,1,1,0.485983,0.02208331
0,Green,False,-0.1056055,-0.0802054,0.9911683,0.02313247,-0.05792272,0.998053,3.351074,3.351074,1,1,0.5092223,0.02323931
0,Green,False,-0.1068524,-0.07745361,0.9912536,0.02030973,-0.07081702,0.9972825,3.339325,3.339325,1,1,0.5307072,0.02148485
0,Green,False,-0.1087629,-0.07535213,0.9912077,0.0175021,-0.07997257,0.9966434,3.404297,3.404297,1,1,0.552747,0.02203983
0,Green,False,-0.1103358,-0.0750782,0.9910547,0.01783758,-0.08955412,0.9958223,3.421005,3.421005,1,1,0.575669,0.02292198
