Color,Camera X,Camera Y,Camera Z,Combine Gaze X,Combine Gaze Y,Combine Gaze Z,Left Pupil Diameter,Right Pupil Diameter,Left Eye Openness,Right Eye Openness,Total Time,Delta Time
Green,-0.3420717,0.4350297,0.8329083,0,0,1,0,0,0,0,0,0
Green,-0.3420717,0.4350297,0.8329083,-0.03823907,-0.02415501,0.9989766,3.519806,3.519806,0,0,0.02,0.02
Green,-0.07328758,-0.04215169,0.9964197,-0.01016247,0.01734944,0.9997978,3.731155,3.731155,1,1,0.3533334,0.3333333
Green,-0.1194073,-0.05669397,0.9912254,-0.007904163,0.01358051,0.9998766,3.612885,3.612885,1,1,0.3843825,0.03104919
Green,-0.1181817,-0.05900068,0.9912376,0.009567372,0.01486223,0.9998438,3.672806,3.672806,1,1,0.4073033,0.02292079
Green,-0.1168361,-0.0601991,0.9913251,0.005218582,0.02220186,0.9997399,3.639587,3.639587,1,1,0.4316584,0.02435511
Green,-0.1150185,-0.0624989,0.9913952,0.008102535,0.05177382,0.998626,3.670181,3.670181,1,1,0.4562329,0.02457449
Green,-0.1137356,-0.06497388,0.9913842,0.002883937,0.05125473,0.9986815,3.668549,3.668549,1,1,0.4829597,0.02672681
Green,-0.1129126,-0.06649663,0.9913772,0.00132752,0.0545809,0.9985085,3.667496,3.667496,1,1,0.505074,0.02211422
Green,-0.1119299,-0.06711285,0.9914472,0.001724252,0.05313138,0.9985861,3.661423,3.661423,1,1,0.5277904,0.0227164
Green,-0.1108237,-0.06731346,0.9915578,0.003295921,0.05387915,0.998542,3.663513,3.663513,1,1,0.5475717,0.01978129
Green,-0.1092735,-0.0673369,0.9917283,-0.0008239864,0.05973901,0.9982137,3.660522,3.660522,1,1,0.5716665,0.02409488
Green,-0.1079186,-0.06708895,0.9918935,-0.001785306,0.06170749,0.9980927,3.608292,3.608292,1,1,0.5943521,0.02268559
Green,-0.106538,-0.06719128,0.9920358,-0.006790256,0.06187525,0.9980608,3.609146,3.609146,1,1,0.6143032,0.01995105
Green,-0.1053535,-0.0673145,0.9921539,0.01379411,0.01458758,0.9997984,3.686325,3.686325,1,1,0.6385387,0.02423549
Green,-0.104385,-0.06716049,0.9922667,0.05433665,-0.02471928,0.9982166,3.810944,3.810944,1,1,0.6613997,0.022861
Green,-0.1036645,-0.06640968,0.9923928,0.05346723,-0.02452107,0.9982685,3.782852,3.782852,1,1,0.6822793,0.02087969
Green,-0.1029644,-0.06561245,0.9925187,0.05503856,-0.02677923,0.9981251,3.754547,3.754547,1,1,0.7058725,0.02359319
Green,-0.102878,-0.06547525,0.9925367,0.05275013,-0.0276797,0.9982241,3.753525,3.753525,1,1,0.7271357,0.02126312
Green,-0.1030455,-0.06565278,0.9925076,0.04963704,0.01455694,0.9986612,3.75119,3.75119,1,1,0.7488765,0.02174079
Green,-0.1027211,-0.06600375,0.9925179,0.04788236,0.01402291,0.9987546,3.746948,3.746948,1,1,0.7709485,0.02207202
Green,-0.1019877,-0.06573362,0.9926115,0.04595968,0.01605232,0.9988143,3.727203,3.727203,1,1,0.7926908,0.02174228
Green,-0.1009075,-0.06504299,0.9927674,0.04295373,0.01370247,0.9989831,3.723663,3.723663,1,1,0.8159792,0.02328849
Green,-0.09961445,-0.06465832,0.9929231,0.03573632,0.007202196,0.9993353,3.667267,3.667267,1,1,0.8367987,0.02081949
Green,-0.09852022,-0.06428108,0.9930568,0.03390514,0.005828876,0.9994081,3.566284,3.566284,1,1,0.86036,0.02356124
Green,-0.09753029,-0.06354323,0.993202,0.0294803,0.004989677,0.9995529,3.532745,3.532745,1,1,0.8820618,0.02170187
Green,-0.0966964,-0.06340018,0.9932927,0.02539091,0.002075218,0.9996755,3.465408,3.465408,1,1,0.9046597,0.02259791
Green,-0.09639385,-0.06289423,0.9933542,0.03804056,-0.007583697,0.9992474,3.40239,3.40239,1,1,0.9269525,0.02229279
Green,-0.09592988,-0.06154146,0.9934838,0.03656032,-0.01199349,0.9992595,3.360703,3.360703,1,1,0.9484321,0.02147961
Green,-0.09544813,-0.06085299,0.9935727,0.03955137,-0.01322957,0.99913,3.321152,3.321152,1,1,0.9716305,0.02319831
Green,-0.09558124,-0.06130243,0.9935322,0.03529363,-0.01469423,0.9992689,3.267334,3.267334,1,1,0.9931393,0.02150881
Green,-0.09633758,-0.0605465,0.9935055,0.04263325,-0.02284251,0.9988297,3.073303,3.073303,1,1,1.015815,0.02267611
Green,-0.09752707,-0.05992174,0.9934273,0.039032,-0.01748658,0.9990849,3.104294,3.104294,1,1,1.038098,0.02228272
Green,-0.09836685,-0.06065549,0.9933,0.05017151,-0.009018054,0.9986999,3.060806,3.060806,1,1,1.061173,0.02307534
Green,-0.09859991,-0.06134908,0.9932343,0.05186507,-0.01135264,0.9985896,3.047424,3.047424,1,1,1.081946,0.0207727
Green,-0.09843533,-0.05956348,0.9933593,0.0509038,-0.01399244,0.9986055,3.031815,3.031815,1,1,1.104148,0.02220225
Green,-0.09815883,-0.05695632,0.9935396,0.05151396,-0.01420601,0.9985712,2.988235,2.988235,1,1,1.127604,0.0234555
Green,-0.09774678,-0.05419616,0.9937345,0.05122443,-0.01470967,0.9985788,2.943329,2.943329,1,1,1.151182,0.02357852
Green,-0.096968,-0.05191982,0.9939324,0.05154495,-0.01451132,0.9985653,2.923401,2.923401,1,1,1.173416,0.02223408
Green,-0.09658278,-0.05026895,0.9940547,0.05082709,-0.01763918,0.9985517,2.894455,2.894455,1,1,1.195064,0.0216471
Green,-0.09626167,-0.04916521,0.9941411,0.05961679,0.02113367,0.9979976,2.870956,2.870956,1,1,1.21586,0.0207963
