Index,Color,Camera X,Camera Y,Camera Z,Combine Gaze X,Combine Gaze Y,Combine Gaze Z,Left Pupil Diameter,Right Pupil Diameter,Left Eye Openness,Right Eye Openness,Total Time,Delta Time
0,Blue,-0.3028094,0.3930052,0.8682473,0,0,1,0,0,0,0,0,0
0,Blue,-0.3028094,0.3930052,0.8682473,-0.01058963,-0.04690565,0.9988432,3.994705,3.994705,1,1,0.02,0.02
0,Blue,-0.05399234,-0.04639252,0.997463,-0.01319902,-0.05223149,0.9985478,4.004425,4.004425,1,0,0.3493823,0.3293823
0,Blue,-0.05504914,-0.04413864,0.9975076,-0.01812772,-0.05555809,0.9982909,4.001068,4.001068,1,1,0.3836189,0.03423658
0,Blue,-0.0548282,-0.04421775,0.9975163,-0.01886012,-0.05561903,0.998274,4.010818,4.010818,1,1,0.4066733,0.02305442
0,Blue,-0.05452308,-0.04403389,0.9975411,-0.01696799,-0.05569528,0.9983037,4.020996,4.020996,1,1,0.4340849,0.02741158
0,Blue,-0.05416588,-0.04354623,0.997582,-0.01622024,-0.05651908,0.9982698,4.036484,4.036484,1,1,0.4571259,0.02304101
0,Blue,-0.05388566,-0.04290536,0.9976249,-0.01373299,-0.05696141,0.998282,4.040833,4.040833,1,1,0.4784124,0.02128649
0,Blue,-0.05351708,-0.04244213,0.9976646,-0.01171893,-0.05856414,0.9982149,4.044891,4.044891,1,1,0.4999072,0.02149481
0,Blue,-0.05286585,-0.04248166,0.9976977,-0.0117341,-0.05894518,0.9981923,4.039459,4.039459,1,1,0.5237074,0.02380019
0,Blue,-0.05239178,-0.04258867,0.9977181,-0.0126038,-0.05859392,0.9982023,4.038452,4.038452,1,1,0.5450521,0.02134472
0,Blue,-0.05178562,-0.04281625,0.99774,-0.01536564,-0.06175248,0.9979732,3.988953,3.988953,1,1,0.5671279,0.02207577
0,Blue,-0.0514815,-0.04308294,0.9977442,-0.01435854,-0.0644227,0.9978194,3.959976,3.959976,1,1,0.5890738,0.02194589
0,Blue,-0.05103805,-0.04272449,0.9977824,-0.01493847,-0.06489615,0.9977802,3.951065,3.951065,1,1,0.6115433,0.02246952
0,Blue,-0.05046298,-0.04192936,0.9978454,-0.01655606,-0.06646837,0.9976512,3.931641,3.931641,1,1,0.633315,0.02177173
0,Blue,-0.04999787,-0.0412995,0.9978951,0.01608286,-0.06001317,0.998068,3.729553,3.729553,1,1,0.6557055,0.02239048
0,Blue,-0.04943001,-0.04061847,0.9979513,0.02128605,-0.0671693,0.9975145,3.701263,3.701263,1,1,0.6777049,0.02199936
0,Blue,-0.04872349,-0.04005993,0.9980087,0.01658635,-0.06956503,0.9974395,3.701294,3.701294,1,1,0.700438,0.02273315
0,Blue,-0.04806979,-0.03914635,0.9980766,0.01503007,-0.07881252,0.9967761,3.692123,3.692123,1,1,0.7222414,0.02180338
0,Blue,-0.04764889,-0.03771571,0.9981518,0.01564037,-0.07835445,0.9968029,3.679108,3.679108,1,1,0.7441116,0.0218702
0,Blue,-0.04745655,-0.03698255,0.9981884,0.0167084,-0.07742322,0.9968583,3.671478,3.671478,1,1,0.7668355,0.02272391
0,Blue,-0.04702662,-0.03668985,0.9982196,0.01666276,-0.07830885,0.9967899,3.640442,3.640442,1,1,0.7880724,0.0212369
0,Blue,-0.04645574,-0.03614153,0.9982663,0.01667802,-0.08410726,0.9963171,3.625366,3.625366,1,1,0.8109,0.02282757
0,Blue,-0.04582521,-0.03537,0.9983231,0.01733412,-0.08543462,0.996193,3.617065,3.617065,1,1,0.8338584,0.0229584
