Index,Color,Talking,Camera X,Camera Y,Camera Z,Combine Gaze X,Combine Gaze Y,Combine Gaze Z,Left Pupil Diameter,Right Pupil Diameter,Left Eye Openness,Right Eye Openness,Total Time,Delta Time
0,Black,FALSE,-0.3082283,0.3740678,0.8746819,0,0,1,0,0,0,0,0,0
0,Black,FALSE,-0.3082283,0.3740678,0.8746819,0.03623979,-0.03851336,0.9986007,3.875717,3.875717,1,1,0.02,0.02
0,Black,FALSE,-0.3040817,-0.03440628,0.9520244,0.01933296,-0.07717924,0.9968298,3.852234,3.852234,1,1,0.3533334,0.3333333
0,Black,FALSE,-0.3050795,-0.07160001,0.9496315,0.02996854,-0.06736819,0.997278,3.885162,3.885162,1,1,0.3803113,0.02697799
0,Black,FALSE,-0.3081651,-0.07660616,0.9482435,0.03355425,-0.06431612,0.9973653,4.005264,4.005264,1,1,0.3979051,0.01759371
0,Black,FALSE,-0.3113202,-0.08080272,0.9468637,0.03324907,-0.04634117,0.9983722,3.998581,3.998581,1,1,0.4156022,0.01769719
0,Black,FALSE,-0.3147438,-0.08481272,0.9453799,0.03952041,-0.04766863,0.9980811,3.993408,3.993408,1,1,0.4355429,0.0199407
0,Black,FALSE,-0.3176638,-0.08876976,0.944039,0.03880321,-0.03424082,0.99866,3.99855,3.99855,1,1,0.4555387,0.01999581
0,Black,FALSE,-0.3200566,-0.092719,0.9428505,0.0401768,-0.03466832,0.998591,4.031158,4.031158,1,1,0.478359,0.0228202
0,Black,FALSE,-0.3223351,-0.09661911,0.9416819,0.04000896,-0.03115877,0.9987134,4.03363,4.03363,1,1,0.5003775,0.02201858
0,Black,FALSE,-0.3234957,-0.09984589,0.9409471,0.03817791,-0.03335608,0.9987141,4.033691,4.033691,1,1,0.5224575,0.02208
0,Black,FALSE,-0.3238568,-0.1019878,0.940593,0.04850782,-0.03106698,0.9983395,4.122589,4.122589,1,1,0.5447142,0.02225661
0,Black,FALSE,-0.3235281,-0.1035852,0.9405316,0.1914374,0.01788336,0.9813419,4.131744,4.131744,1,1,0.5660979,0.02138376
0,Black,FALSE,-0.3225996,-0.1054907,0.9406387,0.1990973,0.01521306,0.9798616,4.16864,4.16864,1,1,0.588091,0.0219931
0,Black,FALSE,-0.3211594,-0.1076454,0.9408875,0.2001821,0.00491338,0.9797464,4.076538,4.076538,1,1,0.6109799,0.0228889
0,Black,FALSE,-0.3188849,-0.1087926,0.9415288,0.1983193,0.01097111,0.9800761,4.114273,4.114273,1,1,0.6329451,0.02196521
0,Black,FALSE,-0.316391,-0.1098315,0.9422493,0.1935297,0.01121535,0.9810303,4.075607,4.075607,1,1,0.6549537,0.02200854
0,Black,FALSE,-0.312905,-0.1117112,0.9431919,0.1921098,0.01058969,0.9813163,4.02005,4.02005,1,1,0.6771833,0.02222967
0,Black,FALSE,-0.3090463,-0.1143414,0.9441485,0.1752492,0.0007019125,0.9845238,3.893173,3.893173,1,1,0.700155,0.02297169
0,Black,FALSE,-0.3049523,-0.1170304,0.9451497,0.1863562,0.007202174,0.9824558,3.860001,3.860001,1,1,0.7217075,0.02155244
0,Black,FALSE,-0.2996786,-0.1191602,0.9465694,0.1710362,-0.00585939,0.9852473,3.833572,3.833572,1,1,0.7436894,0.02198189
0,Black,FALSE,-0.292647,-0.1205649,0.9485894,0.1794591,0.02114873,0.9835381,3.903214,3.903214,1,1,0.7666939,0.02300459
0,Black,FALSE,-0.2835125,-0.1224713,0.9511159,0.1762572,0.01635769,0.9842082,3.790924,3.790924,1,1,0.788519,0.02182508
0,Black,FALSE,-0.2722092,-0.125182,0.9540606,0.1721807,0.01229862,0.9849886,3.800003,3.800003,1,1,0.8104643,0.02194524
0,Black,FALSE,-0.2574058,-0.1278148,0.9578129,0.1418777,0.00640876,0.9898635,3.746231,3.746231,1,1,0.8326253,0.02216101
0,Black,FALSE,-0.237769,-0.1308414,0.9624689,0.1443646,0.01091013,0.9894645,3.548126,3.548126,1,1,0.855642,0.02301675
0,Black,FALSE,-0.2141063,-0.1346421,0.9674864,0.2260137,0.02673346,0.9737572,3.738281,3.738281,1,1,0.8764033,0.02076131
0,Black,FALSE,-0.189056,-0.1377664,0.9722542,0.2083291,0.007308991,0.9780315,3.775253,3.775253,1,1,0.9005162,0.02411282
0,Black,FALSE,-0.1662486,-0.1408579,0.9759715,0.2012662,0.02842751,0.979124,3.53334,3.53334,1,1,0.9223862,0.02187002
0,Black,FALSE,-0.155968,-0.1422063,0.9774719,0.1740285,0.01570148,0.9846154,3.517838,3.517838,1,1,0.9423354,0.01994926
0,Black,FALSE,-0.1385449,-0.1440486,0.9798241,0.1576854,0.004486114,0.9874792,3.573563,3.573563,1,1,0.9590881,0.01675272
0,Black,FALSE,-0.124853,-0.1461606,0.9813505,0.1294563,0.002197278,0.9915827,3.52951,3.52951,1,1,0.9770989,0.0180108
0,Black,FALSE,-0.1148328,-0.1480686,0.9822877,0.1144265,0.01354991,0.9933393,3.4944,3.4944,1,1,0.9992452,0.02214628
0,Black,FALSE,-0.1026333,-0.1493687,0.9834406,0.09271331,-0.00575262,0.9956762,3.262573,3.262573,1,1,1.022003,0.02275747
0,Black,FALSE,-0.09023982,-0.1501451,0.9845371,0.08100984,0.005096494,0.9967002,3.342041,3.342041,1,1,1.043975,0.02197182
0,Black,FALSE,-0.08022454,-0.1511444,0.9852509,0.07328884,0.005462712,0.9972958,3.325546,3.325546,1,1,1.066929,0.02295434
0,Black,FALSE,-0.07366679,-0.1518912,0.9856482,0.06332467,0.00730904,0.9979662,3.31842,3.31842,1,1,1.088019,0.02109051
0,Black,FALSE,-0.07132546,-0.1512217,0.9859233,0.05838037,0.01097111,0.9982342,3.338013,3.338013,1,1,1.110766,0.02274656
0,Black,FALSE,-0.07230984,-0.1506551,0.9859383,0.05509964,0.01139835,0.9984158,3.2948,3.2948,1,1,1.132738,0.0219717
